Date,ISM_MANUFACTURING,BBB_CREDIT_SPREAD,POLICY_RATE
2010-01-31,51.1,1.98,2.06
2010-02-28,51.1,2.03,2.08
2010-03-31,52.9,2.09,2.09
2010-04-30,54.1,2.13,1.96
2010-05-31,55.4,2.17,2.04
2010-06-30,54.7,2.07,1.98
2010-07-31,54.4,1.89,2.03
2010-08-31,54.5,2.02,2.05
2010-09-30,56.5,1.95,2.07
2010-10-31,57.6,2.1,2.15
2010-11-30,56.3,1.82,2.11
2010-12-31,54.6,1.61,2.07
2011-01-31,54.9,1.59,2.0
2011-02-28,57.6,1.84,1.96
2011-03-31,55.9,1.54,2.11
2011-04-30,53.5,1.3,2.08
2011-05-31,54.9,1.43,2.19
2011-06-30,53.3,1.44,2.26
2011-07-31,53.5,1.53,2.33
2011-08-31,53.1,1.22,2.4
2011-09-30,52.3,1.38,2.31
2011-10-31,53.2,1.35,2.34
2011-11-30,51.9,1.13,2.48
2011-12-31,50.8,1.16,2.42
2012-01-31,51.3,1.37,2.42
2012-02-29,51.2,1.34,2.35
2012-03-31,48.0,1.22,2.38
2012-04-30,49.1,1.14,2.29
2012-05-31,47.9,1.24,2.43
2012-06-30,48.4,1.08,2.4
2012-07-31,46.9,1.1,2.26
2012-08-31,48.2,1.02,2.42
2012-09-30,48.0,1.14,2.51
2012-10-31,47.7,1.16,2.55
2012-11-30,46.9,1.53,2.6
2012-12-31,47.7,1.21,2.57
2013-01-31,47.2,1.43,2.55
2013-02-28,47.1,1.48,2.61
2013-03-31,49.2,1.34,2.7
2013-04-30,48.2,1.56,2.78
2013-05-31,51.1,1.21,2.8
2013-06-30,51.1,1.53,2.76
2013-07-31,48.7,1.68,2.74
2013-08-31,51.7,1.34,2.84
2013-09-30,50.8,1.55,2.97
2013-10-31,52.6,1.87,2.94
2013-11-30,53.2,1.76,2.9
2013-12-31,51.5,1.71,3.01
2014-01-31,53.9,1.85,3.07
2014-02-28,54.3,1.87,3.14
2014-03-31,56.1,2.06,3.02
2014-04-30,54.1,2.06,2.98
2014-05-31,56.5,2.0,2.94
2014-06-30,54.6,1.98,2.96
2014-07-31,55.6,2.07,2.8
2014-08-31,55.1,2.25,2.92
2014-09-30,57.6,2.14,2.95
2014-10-31,56.5,2.18,2.99
2014-11-30,58.3,2.08,2.88
2014-12-31,56.1,1.93,2.88
2015-01-31,55.9,1.98,3.0
2015-02-28,55.5,2.12,2.86
2015-03-31,53.5,2.02,2.88
2015-04-30,53.6,1.87,2.95
2015-05-31,54.6,1.74,2.88
2015-06-30,52.1,1.91,2.96
2015-07-31,52.2,1.81,2.93
2015-08-31,51.4,1.76,3.04
2015-09-30,51.5,1.71,3.09
2015-10-31,49.9,1.73,3.11
2015-11-30,49.7,1.67,3.29
2015-12-31,49.6,1.7,3.36
2016-01-31,49.1,1.64,3.48
2016-02-29,47.7,1.63,3.37
2016-03-31,49.3,1.52,3.31
2016-04-30,46.7,1.33,3.39
2016-05-31,46.7,1.32,3.47
2016-06-30,46.6,1.34,3.47
2016-07-31,49.1,1.2,3.54
2016-08-31,47.8,1.27,3.44
2016-09-30,47.3,1.31,3.46
2016-10-31,47.4,1.05,3.36
2016-11-30,49.5,0.91,3.39
2016-12-31,48.2,1.25,3.34
2017-01-31,48.5,1.1,3.29
2017-02-28,51.0,1.19,3.29
2017-03-31,49.6,0.94,3.45
2017-04-30,51.1,1.32,3.36
2017-05-31,52.0,1.22,3.31
2017-06-30,52.1,1.14,3.4
2017-07-31,53.1,1.14,3.37
2017-08-31,55.2,1.23,3.53
2017-09-30,53.6,1.23,3.55
2017-10-31,53.3,1.26,3.55
2017-11-30,53.0,1.2,3.59
2017-12-31,55.2,1.54,3.74
2018-01-31,55.3,1.43,3.8
2018-02-28,56.1,1.5,3.85
2018-03-31,55.5,1.56,3.87
2018-04-30,55.5,1.32,3.73
2018-05-31,55.2,1.72,3.65
2018-06-30,55.3,1.67,3.78
