Date,XIC.TO,ZEB.TO,XEI.TO,ZLB.TO
2010-03-31,14.66,13.7,14.12,14.8
2010-06-30,13.16,14.16,13.77,14.9
2010-09-30,12.94,13.71,13.54,14.97
2010-12-31,13.3,13.82,13.64,14.77
2011-03-31,12.44,13.88,13.48,14.84
2011-06-30,11.93,14.46,12.94,14.9
2011-09-30,9.96,15.67,13.13,14.25
2011-12-31,10.73,16.26,12.42,14.64
2012-03-31,11.03,17.03,11.37,14.48
2012-06-30,11.06,16.89,10.16,13.94
2012-09-30,10.9,17.16,10.6,14.29
2012-12-31,10.52,17.62,9.56,14.06
2013-03-31,10.47,16.76,9.83,15.16
2013-06-30,10.28,17.98,10.23,15.51
2013-09-30,10.13,17.55,10.72,15.61
2013-12-31,10.11,16.79,10.61,15.21
2014-03-31,10.19,17.77,10.28,15.02
2014-06-30,11.12,19.04,10.33,15.58
2014-09-30,10.25,18.62,9.98,15.22
2014-12-31,10.41,18.25,9.21,15.72
2015-03-31,10.03,20.12,9.96,14.51
2015-06-30,9.35,20.18,9.42,14.68
2015-09-30,7.93,18.99,10.5,15.22
2015-12-31,8.29,18.63,10.81,15.47
2016-03-31,7.7,19.83,10.54,15.51
2016-06-30,7.24,20.22,10.8,16.16
2016-09-30,7.52,20.67,11.54,15.69
2016-12-31,6.86,21.41,10.71,15.15
2017-03-31,6.87,21.81,10.15,15.26
2017-06-30,6.82,21.61,9.52,16.02
2017-09-30,7.29,20.66,9.62,16.33
2017-12-31,7.89,20.93,9.87,16.26
2018-03-31,7.37,20.26,9.88,16.48
2018-06-30,7.91,20.22,9.45,16.79
2018-09-30,7.85,21.28,9.13,16.09
2018-12-31,7.92,21.6,9.84,14.45
2019-03-31,7.78,21.64,10.51,13.88
2019-06-30,8.24,21.68,10.59,13.03
2019-09-30,7.51,22.12,9.8,12.72
2019-12-31,7.66,22.67,10.18,12.05
2020-03-31,8.36,21.88,10.35,11.57
2020-06-30,8.18,21.99,10.51,11.88
2020-09-30,9.39,23.02,11.54,11.98
2020-12-31,8.95,23.47,12.04,12.01
2021-03-31,9.07,23.01,11.45,13.06
2021-06-30,8.77,22.6,10.87,12.83
2021-09-30,8.39,21.37,11.7,12.65
2021-12-31,7.72,20.89,11.82,13.46
2022-03-31,7.39,21.86,12.36,12.85
2022-06-30,7.35,21.81,12.29,11.92
2022-09-30,6.86,21.3,11.72,12.76
2022-12-31,7.39,20.96,11.92,13.02
2023-03-31,8.29,20.89,12.89,13.43
2023-06-30,7.37,20.82,13.13,13.87
2023-09-30,7.87,20.61,12.49,14.47
2023-12-31,7.97,20.15,12.34,14.25
2024-03-31,8.11,20.53,12.08,14.26
2024-06-30,9.58,21.46,12.23,13.66
2024-09-30,10.3,21.12,12.89,13.8
2024-12-31,10.49,20.79,14.12,14.01
2025-03-31,10.6,21.5,14.31,13.8
