Date,XIC.TO,ZEB.TO,XEI.TO,ZLB.TO
2015-01-31,0.3213,0.147,0.3572,0.1745
2015-02-28,0.2199,0.1472,0.2449,0.388
2015-03-31,0.3093,0.3292,0.1878,0.1738
2015-04-30,0.3993,0.1344,0.2328,0.2334
2015-05-31,0.3589,0.1287,0.1464,0.3661
2015-06-30,0.2092,0.4467,0.0868,0.2573
2015-07-31,0.2615,0.4005,0.1939,0.1441
2015-08-31,0.1745,0.1859,0.2719,0.3677
2015-09-30,0.1245,0.1461,0.5397,0.1897
2015-10-31,0.2741,0.2807,0.2738,0.1714
2015-11-30,0.2332,0.2838,0.2139,0.2691
2015-12-31,0.0953,0.1133,0.3255,0.466
2016-01-31,0.15,0.2017,0.4463,0.202
2016-02-29,0.1551,0.297,0.1972,0.3507
2016-03-31,0.1135,0.1486,0.2931,0.4447
2016-04-30,0.1327,0.3142,0.203,0.3501
2016-05-31,0.3595,0.2901,0.1233,0.2271
2016-06-30,0.2353,0.3377,0.1912,0.2358
2016-07-31,0.2477,0.1864,0.2627,0.3032
2016-08-31,0.1285,0.3122,0.2194,0.3399
2016-09-30,0.3419,0.1569,0.2837,0.2175
2016-10-31,0.2661,0.3086,0.2328,0.1924
2016-11-30,0.1633,0.3599,0.2623,0.2146
2016-12-31,0.2278,0.2371,0.2884,0.2467
2017-01-31,0.1786,0.1558,0.2624,0.4031
2017-02-28,0.2183,0.0895,0.2919,0.4004
2017-03-31,0.2336,0.2812,0.1556,0.3295
2017-04-30,0.2832,0.1842,0.267,0.2657
2017-05-31,0.2767,0.2295,0.232,0.2617
2017-06-30,0.1687,0.3383,0.1923,0.3007
2017-07-31,0.1431,0.3256,0.276,0.2553
2017-08-31,0.1471,0.2065,0.2982,0.3482
2017-09-30,0.1661,0.2525,0.2545,0.3269
2017-10-31,0.1958,0.1907,0.478,0.1356
2017-11-30,0.3032,0.3175,0.216,0.1633
2017-12-31,0.1625,0.4267,0.2272,0.1836
2018-01-31,0.298,0.3719,0.2253,0.1048
2018-02-28,0.2111,0.2072,0.2129,0.3688
2018-03-31,0.2291,0.1291,0.3115,0.3303
2018-04-30,0.2401,0.2502,0.3324,0.1773
2018-05-31,0.2379,0.1999,0.3273,0.2348
2018-06-30,0.2208,0.2203,0.3344,0.2245
2018-07-31,0.3263,0.2517,0.2482,0.1738
2018-08-31,0.2749,0.253,0.3354,0.1367
2018-09-30,0.4059,0.2716,0.2148,0.1077
2018-10-31,0.1124,0.3588,0.2686,0.2601
2018-11-30,0.2945,0.1764,0.2509,0.2783
2018-12-31,0.1899,0.2444,0.4058,0.1598
2019-01-31,0.2408,0.2198,0.2918,0.2476
2019-02-28,0.14,0.3369,0.0646,0.4585
2019-03-31,0.1948,0.2436,0.3688,0.1928
2019-04-30,0.1372,0.4083,0.2697,0.1848
2019-05-31,0.3827,0.2653,0.1391,0.2129
2019-06-30,0.2056,0.2767,0.2772,0.2404
2019-07-31,0.2496,0.1747,0.3382,0.2374
2019-08-31,0.2191,0.199,0.3771,0.2048
2019-09-30,0.2752,0.2385,0.1773,0.309
2019-10-31,0.2677,0.2478,0.1453,0.3393
2019-11-30,0.2313,0.2009,0.2852,0.2826
2019-12-31,0.2494,0.2704,0.3177,0.1625
2020-01-31,0.3303,0.1167,0.2205,0.3325
2020-02-29,0.3787,0.1271,0.3649,0.1292
2020-03-31,0.3737,0.1082,0.2374,0.2807
2020-04-30,0.3354,0.1901,0.2685,0.2059
2020-05-31,0.1344,0.3133,0.2825,0.2698
2020-06-30,0.24,0.1945,0.2633,0.3023
2020-07-31,0.3374,0.129,0.2507,0.2828
2020-08-31,0.2293,0.1275,0.3995,0.2437
2020-09-30,0.2698,0.2138,0.3094,0.207
2020-10-31,0.1089,0.1734,0.2243,0.4934
2020-11-30,0.2587,0.3319,0.2361,0.1733
